booking_no,created_at,journey_date,account_no,provider_code,travel_product,channel,destination,currency_code,total_booking_amount,service_revenue,supplier_cost,booking_state
ID-BK-0000038,2026-05-17,2026-06-03,ID-CUST-0085,ID-SUP-066,HOTEL,ONLINE,ID,IDR,18384406.11,1882670.49,1400030.07,Confirmed
ID-BK-0000039,2025-06-13,2025-07-04,ID-CUST-0072,ID-SUP-018,HOTEL,MANUAL,ID,IDR,41848470.77,4176467.19,2739251.45,Confirmed
ID-BK-0000040,2025-01-30,2025-02-06,ID-CUST-0062,ID-SUP-039,AIR,ONLINE,AU,IDR,6829814.69,-701107.43,-590743.61,Refunded
ID-BK-0000041,2025-09-24,2025-10-08,ID-CUST-0053,ID-SUP-021,OTHER,MANUAL,VN,IDR,11484814.79,1232734.64,792902.74,Confirmed
ID-BK-0000042,2026-02-24,2026-04-03,ID-CUST-0032,ID-SUP-038,AIR,MANUAL,US,IDR,4255733.48,555776.34,416577.15,Confirmed
ID-BK-0000043,2026-06-27,2026-07-22,ID-CUST-0146,ID-SUP-034,GROUND,ONLINE,JP,IDR,39052328.22,3068956.74,2076805.71,Confirmed
ID-BK-0000044,2026-06-26,2026-07-16,ID-CUST-0091,ID-SUP-025,HOTEL,ONLINE,AU,IDR,26368894.64,3812924.22,2566586.84,Confirmed
ID-BK-0000045,2026-01-27,2026-02-16,ID-CUST-0022,ID-SUP-049,AIR,MANUAL,US,IDR,10231434.29,1211968.54,967340.4,Confirmed
ID-BK-0000046,2025-06-24,2025-07-05,ID-CUST-0220,ID-SUP-045,AIR,ONLINE,TH,IDR,3741965.53,437909.53,285332.9,Confirmed
ID-BK-0000047,2026-07-09,2026-08-03,ID-CUST-0097,ID-SUP-006,AIR,MANUAL,ID,IDR,5109130.89,338951.13,218435.29,Confirmed
ID-BK-0000048,2026-02-01,2026-02-12,ID-CUST-0064,ID-SUP-047,AIR,ONLINE,MY,IDR,11373411.95,1371712.85,1148542.95,Confirmed
ID-BK-0000049,2024-10-03,2024-10-12,ID-CUST-0075,ID-SUP-036,AIR,ONLINE,ID,IDR,5826026.6,593641.66,514722.78,Confirmed
ID-BK-0000050,2025-02-11,2025-03-04,ID-CUST-0049,ID-SUP-005,OTHER,MANUAL,AU,IDR,35495427.94,3164659.33,2190567.24,Confirmed
ID-BK-0000051,2026-06-16,2026-07-28,ID-CUST-0200,ID-SUP-048,GROUND,MANUAL,AU,IDR,5745061.01,633089.77,362937.1,Confirmed
ID-BK-0000052,2025-05-11,2025-05-16,ID-CUST-0053,ID-SUP-064,GROUND,ONLINE,VN,IDR,4294324.94,329945.71,193285.29,Confirmed
ID-BK-0000053,2026-07-12,2026-07-27,ID-CUST-0108,ID-SUP-002,HOTEL,ONLINE,CN,IDR,7837458.58,727623.63,473628.18,Confirmed
ID-BK-0000054,2025-05-07,2025-06-09,ID-CUST-0036,ID-SUP-038,GROUND,MANUAL,CN,IDR,11096948.56,1346843.84,799048.21,Confirmed
ID-BK-0000055,2025-05-02,2025-05-06,ID-CUST-0201,ID-SUP-001,HOTEL,ONLINE,VN,IDR,12572148.48,1039596.85,758433.87,Confirmed
ID-BK-0000056,2025-02-26,2025-05-03,ID-CUST-0184,ID-SUP-065,AIR,ONLINE,TH,IDR,9084267.86,0.0,0.0,Cancelled
ID-BK-0000057,2025-11-10,2025-12-01,ID-CUST-0098,ID-SUP-060,AIR,MANUAL,VN,IDR,9224863.57,1052262.97,658393.27,Confirmed
ID-BK-0000058,2025-07-12,2025-07-21,ID-CUST-0001,ID-SUP-050,AIR,MANUAL,MY,IDR,15413647.84,1007284.94,629536.29,Confirmed
ID-BK-0000059,2025-06-11,2025-06-18,ID-CUST-0168,ID-SUP-059,AIR,ONLINE,TH,IDR,15852689.91,1908293.7,1276271.09,Confirmed
ID-BK-0000060,2025-04-13,2025-05-20,ID-CUST-0070,ID-SUP-018,HOTEL,ONLINE,SG,IDR,20842967.74,1284698.93,980833.92,Confirmed
ID-BK-0000061,2026-04-30,2026-05-13,ID-CUST-0237,ID-SUP-029,HOTEL,ONLINE,US,IDR,19387667.49,0.0,0.0,Cancelled
ID-BK-0000062,2025-01-30,2025-02-22,ID-CUST-0191,ID-SUP-040,HOTEL,MANUAL,MY,IDR,20126920.74,2166307.51,1360087.6,Confirmed
ID-BK-0000063,2025-04-03,2025-04-18,ID-CUST-0150,ID-SUP-044,AIR,ONLINE,JP,IDR,2029303.74,242466.33,143559.5,Confirmed
ID-BK-0000064,2024-10-15,2024-10-29,ID-CUST-0225,ID-SUP-008,AIR,MANUAL,VN,IDR,16215766.86,2318561.9,1320701.25,Confirmed
ID-BK-0000065,2025-10-16,2025-10-31,ID-CUST-0197,ID-SUP-049,AIR,ONLINE,AU,IDR,14021830.26,2073732.79,1280231.53,Confirmed
ID-BK-0000066,2025-07-12,2025-07-26,ID-CUST-0255,ID-SUP-068,AIR,ONLINE,GB,IDR,22522710.49,2566070.96,1730344.6,Confirmed
ID-BK-0000067,2024-09-06,2024-09-12,ID-CUST-0041,ID-SUP-054,AIR,ONLINE,JP,IDR,15633107.82,1441249.14,1048334.58,Confirmed
ID-BK-0000068,2026-02-19,2026-03-03,ID-CUST-0102,ID-SUP-024,HOTEL,MANUAL,JP,IDR,7330265.36,1098350.4,643831.39,Confirmed
ID-BK-0000069,2025-07-18,2025-08-09,ID-CUST-0080,ID-SUP-036,AIR,MANUAL,ID,IDR,16388891.76,1429878.7,1230701.43,Confirmed
ID-BK-0000070,2024-09-27,2024-10-16,ID-CUST-0238,ID-SUP-064,HOTEL,MANUAL,TH,IDR,11284601.13,848250.33,556338.52,Confirmed
ID-BK-0000071,2025-11-14,2025-11-28,ID-CUST-0149,ID-SUP-055,GROUND,ONLINE,JP,IDR,13550028.75,1150584.54,945028.56,Confirmed
ID-BK-0000072,2026-03-27,2026-04-09,ID-CUST-0256,ID-SUP-049,AIR,ONLINE,GB,IDR,33521826.59,4016170.49,3322712.21,Confirmed
ID-BK-0000073,2024-12-19,2025-01-03,ID-CUST-0238,ID-SUP-012,AIR,MANUAL,CN,IDR,17132028.9,1804908.32,1437370.97,Confirmed
ID-BK-0000074,2024-10-16,2024-10-25,ID-CUST-0254,ID-SUP-064,HOTEL,ONLINE,CN,IDR,38166301.81,5237159.02,2985405.51,Confirmed
ID-BK-0000075,2025-05-22,2025-05-31,ID-CUST-0074,ID-SUP-034,AIR,ONLINE,MY,IDR,18301114.95,1208273.48,827752.04,Confirmed
ID-BK-0000076,2025-01-12,2025-01-21,ID-CUST-0025,ID-SUP-006,HOTEL,MANUAL,JP,IDR,1502914.5,202222.87,127612.59,Confirmed
ID-BK-0000077,2026-02-04,2026-02-23,ID-CUST-0225,ID-SUP-055,HOTEL,ONLINE,US,IDR,4357125.29,460435.33,316740.57,Confirmed
ID-BK-0000078,2024-12-29,2025-01-05,ID-CUST-0023,ID-SUP-022,AIR,MANUAL,CN,IDR,11070673.63,1172867.84,987279.96,Confirmed
ID-BK-0000079,2025-06-29,2025-07-16,ID-CUST-0255,ID-SUP-059,AIR,MANUAL,ID,IDR,6375429.17,553805.84,401086.91,Confirmed
ID-BK-0000080,2025-06-13,2025-06-25,ID-CUST-0149,ID-SUP-058,GROUND,ONLINE,SG,IDR,57059629.25,8713825.69,6163844.65,Confirmed
ID-BK-0000081,2025-01-24,2025-02-14,ID-CUST-0111,ID-SUP-048,AIR,ONLINE,TH,IDR,27988729.95,4461963.45,2486233.17,Confirmed
ID-BK-0000082,2026-02-02,2026-03-08,ID-CUST-0108,ID-SUP-054,AIR,MANUAL,MY,IDR,25217297.01,2915430.21,2348590.27,Confirmed
ID-BK-0000083,2025-05-20,2025-06-23,ID-CUST-0258,ID-SUP-017,HOTEL,ONLINE,AU,IDR,4259285.77,382875.02,220330.5,Confirmed
ID-BK-0000084,2025-01-24,2025-02-20,ID-CUST-0174,ID-SUP-050,AIR,MANUAL,ID,IDR,8820317.27,1094653.94,762489.41,Confirmed
ID-BK-0000085,2025-07-03,2025-08-01,ID-CUST-0048,ID-SUP-053,HOTEL,MANUAL,CN,IDR,8356765.39,787369.13,457369.14,Confirmed
ID-BK-0000086,2024-12-06,2024-12-13,ID-CUST-0065,ID-SUP-047,AIR,MANUAL,AU,IDR,4526967.04,465331.02,339878.7,Confirmed
ID-BK-0000087,2026-05-14,2026-06-04,ID-CUST-0026,ID-SUP-003,OTHER,ONLINE,TH,IDR,10428862.24,1075674.61,897392.61,Confirmed
ID-BK-0000088,2025-10-13,2025-10-29,ID-CUST-0200,ID-SUP-045,GROUND,ONLINE,CN,IDR,9793522.46,1491730.47,825070.31,Confirmed
ID-BK-0000089,2025-10-05,2025-10-18,ID-CUST-0021,ID-SUP-068,AIR,ONLINE,TH,IDR,14622296.83,1093225.94,683779.08,Confirmed
ID-BK-0000090,2025-11-19,2025-12-15,ID-CUST-0169,ID-SUP-004,GROUND,ONLINE,AU,IDR,15782415.3,1222791.98,705056.55,Confirmed
ID-BK-0000091,2024-12-12,2025-01-06,ID-CUST-0255,ID-SUP-011,GROUND,ONLINE,MY,IDR,12423070.47,883387.91,716155.85,Confirmed
ID-BK-0000092,2026-07-23,2026-08-20,ID-CUST-0185,ID-SUP-031,AIR,MANUAL,CN,IDR,22254180.55,3299961.92,1866536.8,Confirmed
ID-BK-0000093,2024-10-17,2024-11-01,ID-CUST-0065,ID-SUP-021,HOTEL,MANUAL,CN,IDR,9759781.2,901923.11,497083.96,Confirmed
ID-BK-0000094,2025-03-24,2025-04-15,ID-CUST-0004,ID-SUP-024,AIR,MANUAL,CN,IDR,43642421.5,4002027.0,3400812.42,Confirmed
ID-BK-0000095,2024-09-27,2024-10-21,ID-CUST-0204,ID-SUP-023,GROUND,MANUAL,VN,IDR,904716.98,90306.93,55083.95,Confirmed
ID-BK-0000096,2024-09-25,2024-10-13,ID-CUST-0044,ID-SUP-007,GROUND,MANUAL,VN,IDR,14429076.98,1652823.2,999313.41,Confirmed
ID-BK-0000097,2026-04-21,2026-05-22,ID-CUST-0199,ID-SUP-063,HOTEL,MANUAL,SG,IDR,25203420.66,1523491.08,1039782.85,UNKNOWN
ID-BK-0000098,2025-08-13,2025-09-05,ID-CUST-0100,ID-SUP-016,HOTEL,ONLINE,SG,IDR,28840896.98,3822480.28,2451855.45,Confirmed
ID-BK-0000099,2025-11-30,2025-12-12,ID-CUST-0012,ID-SUP-066,AIR,ONLINE,JP,IDR,30539821.95,4437681.96,3773722.15,Confirmed
ID-BK-0000100,2025-04-01,2025-04-14,ID-CUST-0070,ID-SUP-057,AIR,MANUAL,US,IDR,13612530.95,1294958.75,957784.42,Confirmed
ID-BK-0000101,2025-08-27,2025-09-07,ID-CUST-0065,ID-SUP-030,AIR,ONLINE,MY,IDR,10677898.52,897510.48,529294.27,Confirmed
ID-BK-0000102,2024-12-20,2025-01-18,ID-CUST-0125,ID-SUP-021,AIR,ONLINE,GB,IDR,15164589.48,1194356.6,693769.8,Confirmed
ID-BK-0000103,2026-03-27,2026-04-29,ID-CUST-0215,ID-SUP-063,HOTEL,MANUAL,VN,IDR,8182064.69,871101.86,542152.21,Confirmed
ID-BK-0000104,2025-06-16,2025-06-22,ID-CUST-0223,ID-SUP-040,HOTEL,ONLINE,US,IDR,17675862.7,2546068.55,1491820.63,Confirmed
ID-BK-0000105,2025-02-27,2025-03-11,ID-CUST-0074,ID-SUP-062,AIR,ONLINE,TH,IDR,2864603.3,392879.71,256818.12,Confirmed
ID-BK-0000106,2024-09-30,2024-10-06,ID-CUST-0184,ID-SUP-037,HOTEL,ONLINE,AU,IDR,2355589.56,333393.15,232481.87,Confirmed
ID-BK-0000107,2025-10-29,2025-11-18,ID-CUST-0022,ID-SUP-059,AIR,ONLINE,TH,IDR,15022443.95,1321893.12,832349.11,Confirmed
ID-BK-0000108,2024-12-27,2025-02-05,ID-CUST-0102,ID-SUP-039,AIR,ONLINE,TH,IDR,4855974.99,457159.98,355048.93,Confirmed
ID-BK-0000109,2024-12-27,2025-01-30,ID-CUST-0142,ID-SUP-004,HOTEL,ONLINE,TH,IDR,10284581.15,1279193.91,798871.07,Confirmed
ID-BK-0000110,2024-09-10,2024-10-27,ID-CUST-0190,ID-SUP-058,HOTEL,ONLINE,US,IDR,12431563.64,909062.61,709340.18,Confirmed
ID-BK-0000111,2025-09-24,2025-10-27,ID-CUST-0030,ID-SUP-011,AIR,ONLINE,TH,IDR,28828477.81,1987079.43,1290420.73,Confirmed
ID-BK-0000112,2025-11-28,2025-12-09,ID-CUST-0151,ID-SUP-012,AIR,MANUAL,GB,IDR,16609196.41,1278053.35,844888.55,Confirmed
ID-BK-0000113,2024-11-11,2024-11-14,ID-CUST-0236,ID-SUP-067,OTHER,ONLINE,MY,IDR,13744825.81,1728528.35,1183157.13,Confirmed
ID-BK-0000114,2025-01-20,2025-02-26,ID-CUST-0103,ID-SUP-051,GROUND,MANUAL,MY,IDR,7045466.95,644034.0,489589.33,Confirmed
ID-BK-0000115,2025-08-30,2025-09-06,ID-CUST-0144,ID-SUP-023,AIR,ONLINE,MY,IDR,5869262.52,649026.87,480075.56,Confirmed
ID-BK-0000116,2024-12-05,2024-12-25,ID-CUST-0174,ID-SUP-048,AIR,MANUAL,VN,IDR,3036401.55,468301.8,361456.73,Confirmed
ID-BK-0000117,2025-07-18,2025-08-05,ID-CUST-0038,ID-SUP-059,AIR,ONLINE,US,IDR,2580584.22,411867.67,263219.38,Confirmed
ID-BK-0000118,2024-12-17,2025-01-28,ID-CUST-0005,ID-SUP-066,GROUND,ONLINE,US,IDR,25296676.46,2579905.18,2103890.63,Confirmed
ID-BK-0000119,2026-07-31,2026-08-10,ID-CUST-0112,ID-SUP-007,AIR,MANUAL,TH,IDR,9826689.75,691116.96,503546.1,Confirmed
ID-BK-0000120,2025-02-08,2025-02-19,ID-CUST-0143,ID-SUP-063,HOTEL,MANUAL,SG,IDR,17198828.25,2666137.57,2172354.16,Confirmed
ID-BK-0000121,2025-04-05,2025-05-02,ID-CUST-0235,ID-SUP-050,AIR,ONLINE,TH,IDR,2802631.44,183341.47,111388.35,Confirmed
ID-BK-0000122,2024-11-08,2024-11-15,ID-CUST-0237,ID-SUP-052,AIR,MANUAL,GB,IDR,10943696.6,802574.42,447503.72,Confirmed
ID-BK-0000123,2026-06-03,2026-06-18,ID-CUST-0230,ID-SUP-005,AIR,MANUAL,JP,IDR,41163541.8,4671978.45,2643236.03,Confirmed
ID-BK-0000124,2025-06-13,2025-07-13,ID-CUST-0097,ID-SUP-058,HOTEL,ONLINE,GB,IDR,2729534.04,418706.96,357078.85,Confirmed
ID-BK-0000125,2025-05-27,2025-06-12,ID-CUST-0143,ID-SUP-068,AIR,MANUAL,ID,IDR,16874087.19,1523813.36,1209409.03,Confirmed
ID-BK-0000126,2026-01-14,2026-02-22,ID-CUST-0171,ID-SUP-007,HOTEL,MANUAL,TH,IDR,16854194.28,2099410.75,1265521.12,Confirmed
ID-BK-0000127,2025-05-12,2025-05-22,ID-CUST-0191,ID-SUP-061,HOTEL,ONLINE,TH,IDR,2307308.63,0.0,0.0,Cancelled
ID-BK-0000128,2025-04-18,2025-05-29,ID-CUST-0198,ID-SUP-045,HOTEL,MANUAL,MY,IDR,23390952.67,0.0,0.0,Cancelled
ID-BK-0000129,2026-03-08,2026-03-22,ID-CUST-0013,ID-SUP-057,GROUND,MANUAL,AU,IDR,3317495.08,470151.4,286828.57,Confirmed
ID-BK-0000130,2025-10-26,2025-11-09,ID-CUST-0099,ID-SUP-030,AIR,MANUAL,US,IDR,10914471.61,0.0,0.0,Cancelled
ID-BK-0000131,2026-07-30,2026-08-18,ID-CUST-0138,ID-SUP-024,AIR,MANUAL,MY,IDR,14524811.2,1359689.84,754235.46,Confirmed
ID-BK-0000132,2025-03-03,2025-03-09,ID-CUST-0201,ID-SUP-014,AIR,MANUAL,GB,IDR,11870311.55,989086.1,545159.99,Confirmed
ID-BK-0000133,2025-02-15,2025-03-26,ID-CUST-0106,ID-SUP-068,GROUND,MANUAL,MY,IDR,13062914.82,871628.02,625912.14,Confirmed
ID-BK-0000134,2026-04-24,2026-05-09,ID-CUST-0194,ID-SUP-022,AIR,ONLINE,SG,IDR,2929924.91,416043.77,340582.31,Confirmed
ID-BK-0000135,2026-06-10,2026-06-26,ID-CUST-0039,ID-SUP-037,HOTEL,ONLINE,MY,IDR,9098039.43,-575688.5,-342412.47,Refunded
ID-BK-0000136,2026-04-15,2026-04-22,ID-CUST-0103,ID-SUP-022,AIR,ONLINE,ID,IDR,6112213.07,725272.28,585513.85,Confirmed
ID-BK-0000137,2025-09-26,2025-10-23,ID-CUST-0156,ID-SUP-014,HOTEL,ONLINE,GB,IDR,5104760.23,369310.01,259070.47,Confirmed
ID-BK-0000138,2026-08-24,2026-10-29,ID-CUST-0111,ID-SUP-050,GROUND,ONLINE,US,IDR,5910254.18,834409.01,689791.17,Confirmed
ID-BK-0000139,2025-08-13,2025-08-21,ID-CUST-0257,ID-SUP-033,AIR,MANUAL,CN,IDR,24528849.59,2740130.95,1542312.93,Confirmed
ID-BK-0000140,2026-07-10,2026-07-24,ID-CUST-0062,ID-SUP-013,OTHER,MANUAL,GB,IDR,60961705.77,5406952.22,4716385.82,Confirmed
ID-BK-0000141,2026-01-10,2026-02-19,ID-CUST-0139,ID-SUP-049,AIR,MANUAL,ID,IDR,9643193.86,920668.63,749567.15,Confirmed
ID-BK-0000142,2024-09-28,2024-10-18,ID-CUST-0034,ID-SUP-027,AIR,MANUAL,CN,IDR,13198170.12,1491414.84,1308848.94,Confirmed
ID-BK-0000143,2024-09-16,2024-10-10,ID-CUST-0134,ID-SUP-021,GROUND,MANUAL,GB,IDR,21505737.29,2790254.52,1808581.58,Confirmed
ID-BK-0000144,2026-05-05,2026-06-03,ID-CUST-0006,ID-SUP-004,HOTEL,MANUAL,JP,IDR,19746395.05,2274208.25,1267110.79,Confirmed
ID-BK-0000145,2025-01-13,2025-01-23,ID-CUST-0204,ID-SUP-007,AIR,MANUAL,MY,IDR,66614521.95,5694166.47,3392928.73,Confirmed
ID-BK-0000146,2025-08-11,2025-08-15,ID-CUST-0200,ID-SUP-023,HOTEL,ONLINE,TH,IDR,31739474.52,0.0,0.0,Cancelled
ID-BK-0000147,2026-02-23,2026-04-05,ID-CUST-0203,ID-SUP-018,AIR,ONLINE,SG,IDR,6940278.79,485227.07,418474.75,Confirmed
ID-BK-0000148,2024-11-05,2024-12-24,ID-CUST-0017,ID-SUP-041,GROUND,MANUAL,TH,IDR,9593912.68,1369919.52,757941.52,Confirmed
ID-BK-0000149,2025-01-26,2025-02-14,ID-CUST-0025,ID-SUP-011,AIR,MANUAL,VN,IDR,5581485.28,345670.98,286429.97,Confirmed
ID-BK-0000150,2025-05-13,2025-06-25,ID-CUST-0136,ID-SUP-015,AIR,MANUAL,CN,IDR,1532413.37,216607.05,162128.57,Confirmed
ID-BK-0000151,2025-09-21,2025-09-27,ID-CUST-0024,ID-SUP-041,AIR,ONLINE,JP,IDR,17645772.41,2254320.61,1687193.92,Confirmed
ID-BK-0000152,2026-07-30,2026-08-28,ID-CUST-0114,ID-SUP-062,AIR,MANUAL,TH,IDR,5573336.39,364394.74,264192.43,Confirmed
ID-BK-0000153,2024-11-22,2024-11-25,ID-CUST-0175,ID-SUP-005,AIR,ONLINE,GB,IDR,2974386.33,390028.64,247729.17,Confirmed
ID-BK-0000154,2025-05-29,2025-06-14,ID-CUST-0044,ID-SUP-027,OTHER,MANUAL,SG,IDR,14383139.23,1391921.05,882974.68,Confirmed
ID-BK-0000155,2025-08-08,2025-08-18,ID-CUST-0016,ID-SUP-058,AIR,MANUAL,VN,IDR,33984628.77,2823364.37,2153788.91,Confirmed
ID-BK-0000156,2025-12-02,2025-12-22,ID-CUST-0187,ID-SUP-015,AIR,ONLINE,GB,IDR,48092432.05,4828206.05,2712295.07,Confirmed
ID-BK-0000157,2024-10-08,2024-11-07,ID-CUST-0179,ID-SUP-022,AIR,MANUAL,GB,IDR,65999308.95,9444002.8,8228439.17,Confirmed
ID-BK-0000158,2026-01-10,2026-01-19,ID-CUST-0022,ID-SUP-062,HOTEL,MANUAL,JP,IDR,12787215.54,1982140.97,1234461.41,Confirmed
ID-BK-0000159,2025-11-05,2025-11-26,ID-CUST-0165,ID-SUP-049,AIR,ONLINE,MY,IDR,20990403.39,2837972.35,1576317.17,Confirmed
ID-BK-0000160,2025-12-21,2026-01-11,ID-CUST-0124,ID-SUP-022,OTHER,ONLINE,SG,IDR,21824793.27,2971651.21,1866996.94,Confirmed
ID-BK-0000161,2026-03-26,2026-05-08,ID-CUST-0219,ID-SUP-059,GROUND,MANUAL,GB,IDR,4310745.55,389435.5,243819.73,Confirmed
ID-BK-0000162,2025-07-19,2025-08-01,ID-CUST-0210,ID-SUP-004,AIR,MANUAL,SG,IDR,11849904.87,793499.95,558829.79,Confirmed
ID-BK-0000163,2026-07-24,2026-07-29,ID-CUST-0138,ID-SUP-028,AIR,ONLINE,CN,IDR,7786173.24,501239.95,413962.49,Confirmed
ID-BK-0000164,2024-12-17,2025-01-17,ID-CUST-0242,ID-SUP-037,HOTEL,ONLINE,MY,IDR,7817743.88,801652.95,507939.83,Confirmed
ID-BK-0000165,2025-06-06,2025-06-17,ID-CUST-0061,ID-SUP-027,AIR,ONLINE,TH,IDR,5779239.0,766851.61,620660.19,Confirmed
