booking_id,booking_date,travel_date,customer_id,supplier_id,product_type,booking_channel,destination_country,currency,booking_value,revenue,cost,booking_status,agent_id
MY-B00000019,2025-08-26,2025-09-08,MY-C0149,MY-S0043,Hotel,Online,US,MYR,732.86,99.39,66.81,Confirmed,
MY-B00000020,2025-05-10,2025-05-31,MY-C0089,MY-S0034,Air,Online,CN,MYR,2254.49,209.92,153.02,Confirmed,
MY-B00000021,2025-01-14,2025-01-19,MY-C0154,MY-S0004,Other,Online,CN,MYR,2430.92,149.42,117.36,Confirmed,
MY-B00000022,2024-11-10,2024-12-10,MY-C0074,MY-S0020,Hotel,Offline,GB,MYR,609.21,59.48,43.32,Confirmed,AG005
MY-B00000023,2025-09-09,2025-10-07,MY-C0248,MY-S0052,Hotel,Online,VN,MYR,780.21,86.58,68.13,Confirmed,AG001
MY-B00000024,2026-07-24,2026-08-08,MY-C0021,MY-S0027,Air,Offline,CN,MYR,3722.04,260.85,186.73,Confirmed,AG005
MY-B00000025,2025-01-24,2025-01-31,MY-C0175,MY-S0006,Air,Online,GB,MYR,1388.91,85.78,61.66,Confirmed,
MY-B00000026,2025-06-23,2025-07-25,MY-C0025,MY-S0042,Air,Offline,MY,MYR,2552.44,269.85,197.21,Confirmed,AG002
MY-B00000027,2025-02-11,2025-02-13,MY-C0151,MY-S0042,Air,Online,ID,MYR,1335.22,126.91,85.27,Confirmed,AG001
MY-B00000028,2026-04-14,2026-04-29,MY-C0082,MY-S0057,Hotel,Online,MY,MYR,6681.97,568.47,410.32,Confirmed,
MY-B00000029,2025-06-30,2025-07-12,MY-C0290,MY-S0053,Air,Online,CN,MYR,1134.01,160.34,112.88,Confirmed,
MY-B00000030,2026-08-13,2026-09-02,MY-C0317,MY-S0031,Ground,Offline,CN,MYR,4406.71,286.84,169.6,Confirmed,AG003
MY-B00000031,2025-02-26,2025-03-10,MY-C0128,MY-S0005,Air,Online,ID,MYR,3590.04,293.0,182.7,Confirmed,
MY-B00000032,2024-10-29,2024-11-25,MY-C0268,MY-S0037,Other,Online,VN,MYR,3053.96,247.12,214.74,Confirmed,
MY-B00000033,2025-10-31,2025-11-05,MY-C0110,MY-S0061,Air,Offline,ID,MYR,8944.94,787.03,603.34,Confirmed,AG003
MY-B00000034,2025-12-20,2026-01-21,MY-C0122,MY-S0007,Air,Online,MY,MYR,1193.29,153.58,89.42,Confirmed,
MY-B00000035,2026-08-25,2026-09-07,MY-C0100,MY-S0059,Air,Offline,AU,MYR,934.12,81.49,58.72,Confirmed,AG002
MY-B00000036,2026-05-30,2026-06-09,MY-C0165,MY-S0040,Hotel,Online,CN,MYR,3628.82,507.12,338.55,Confirmed,
MY-B00000037,2026-06-08,2026-06-28,MY-C0248,MY-S0075,Hotel,Offline,GB,MYR,2061.91,148.45,96.26,Confirmed,AG005
MY-B00000038,2025-12-07,2026-01-02,MY-C0076,MY-S0070,Hotel,Online,VN,MYR,1427.79,120.34,96.45,Confirmed,AG002
MY-B00000039,2025-05-21,2025-06-03,MY-C0235,MY-S0005,Air,Online,US,MYR,600.52,86.48,52.48,Confirmed,AG002
MY-B00000040,2025-07-11,2025-07-24,MY-C0175,MY-S0018,Ground,Online,TH,MYR,1862.31,164.58,123.24,Confirmed,
MY-B00000041,2024-12-07,2024-12-15,MY-C0072,MY-S0069,Air,Offline,JP,MYR,1874.18,240.41,146.47,Confirmed,AG005
MY-B00000042,2025-07-12,2025-07-14,MY-C0057,MY-S0002,Air,Online,US,MYR,4342.11,663.81,488.5,Confirmed,
MY-B00000043,2025-05-25,2025-06-03,MY-C0182,MY-S0006,Air,Online,ID,MYR,956.43,0.0,0.0,Cancelled,AG005
MY-B00000044,2024-09-27,2024-10-12,MY-C0062,MY-S0073,Air,Offline,MY,MYR,1657.1,148.41,85.44,Confirmed,AG005
MY-B00000045,2025-01-28,2025-02-08,MY-C0071,MY-S0033,Air,Offline,AU,MYR,400.34,28.06,23.75,Confirmed,AG002
MY-B00000046,2025-09-26,2025-10-07,MY-C0071,MY-S0062,Air,Offline,AU,MYR,5154.12,364.39,291.96,Confirmed,AG003
MY-B00000047,2025-05-28,2025-06-02,MY-C0071,MY-S0013,Air,Offline,SG,MYR,9576.55,1419.4,1134.74,Confirmed,
MY-B00000048,2026-08-27,2026-09-02,MY-C0076,MY-S0011,Air,Online,CN,MYR,604.85,83.74,64.9,Confirmed,
MY-B00000049,2025-08-16,2025-08-21,MY-C0011,MY-S0054,Hotel,Offline,VN,MYR,2734.51,306.13,255.14,Confirmed,
MY-B00000050,2026-08-01,2026-08-16,MY-C0054,MY-S0074,Hotel,Online,JP,MYR,1923.45,223.31,152.19,Confirmed,
MY-B00000051,2025-12-27,2026-01-16,MY-C0054,MY-S0042,Air,Online,CN,MYR,2604.99,264.12,151.97,Confirmed,
MY-B00000052,2024-09-30,2024-10-16,MY-C0156,MY-S0034,Air,Online,TH,MYR,3744.22,546.43,448.89,Confirmed,
MY-B00000053,2025-01-27,2025-02-17,MY-C0077,MY-S0053,Air,Offline,CN,MYR,564.89,49.25,42.0,Confirmed,
MY-B00000054,2026-01-29,2026-02-04,MY-C0204,MY-S0017,Ground,Online,US,MYR,1670.28,195.23,159.35,Confirmed,AG002
MY-B00000055,2025-10-03,2025-10-17,MY-C0108,MY-S0031,Ground,Online,ID,MYR,996.27,73.1,48.0,Confirmed,
MY-B00000056,2025-04-09,2025-04-19,MY-C0002,MY-S0042,Air,Online,VN,MYR,4849.05,397.68,256.72,Confirmed,AG001
MY-B00000057,2025-09-17,2025-09-30,MY-C0141,MY-S0009,Hotel,Online,GB,MYR,1258.44,0.0,0.0,Cancelled,AG004
MY-B00000058,2026-06-22,2026-06-25,MY-C0220,MY-S0026,Air,Online,JP,MYR,4486.14,478.02,405.57,Confirmed,AG001
MY-B00000059,2025-06-11,2025-06-16,MY-C0193,MY-S0035,Ground,Offline,GB,MYR,8676.83,1369.23,1081.79,Confirmed,
MY-B00000060,2024-10-03,2024-10-18,MY-C0110,MY-S0070,Hotel,Offline,SG,MYR,2170.43,196.89,160.86,Confirmed,AG005
MY-B00000061,2025-04-16,2025-04-24,MY-C0011,MY-S0012,Air,Offline,US,MYR,31906.55,4863.17,3041.33,Confirmed,AG003
MY-B00000062,2026-07-16,2026-07-24,MY-C0020,MY-S0039,Air,Offline,TH,MYR,2459.89,254.11,212.4,Confirmed,AG002
MY-B00000063,2026-03-11,2026-03-23,MY-C0188,MY-S0039,Air,Online,AU,MYR,507.79,70.82,61.21,Confirmed,
MY-B00000064,2026-05-05,2026-05-25,MY-C0201,MY-S0016,Ground,Offline,VN,MYR,1557.47,165.34,99.39,Confirmed,AG003
MY-B00000065,2026-06-28,2026-07-24,MY-C0302,MY-S0057,Hotel,Online,TH,MYR,274.43,29.5,20.34,Confirmed,
MY-B00000066,2024-11-25,2024-11-28,MY-C0094,MY-S0029,Air,Online,US,MYR,5463.58,597.34,334.41,Confirmed,
MY-B00000067,2025-03-26,2025-04-04,MY-C0136,MY-S0056,Other,Online,ID,MYR,1009.47,63.48,51.56,Confirmed,AG003
MY-B00000068,2024-10-14,2024-10-30,MY-C0035,MY-S0029,Air,Offline,TH,MYR,1197.74,138.93,105.26,Confirmed,AG004
MY-B00000069,2024-09-04,2024-09-24,MY-C0281,MY-S0038,Hotel,Offline,GB,MYR,4674.82,563.21,456.08,Confirmed,AG004
MY-B00000070,2026-05-03,2026-05-27,MY-C0242,MY-S0059,Air,Offline,CN,MYR,992.44,142.42,102.27,Confirmed,AG005
MY-B00000071,2026-07-16,2026-08-03,MY-C0276,MY-S0018,Ground,Offline,CN,MYR,3756.2,410.54,307.75,Confirmed,
MY-B00000072,2024-12-23,2024-12-31,MY-C0306,MY-S0029,Air,Offline,CN,MYR,1589.55,242.67,157.16,Confirmed,AG001
MY-B00000073,2026-02-10,2026-02-26,MY-C0091,MY-S0045,Air,Offline,CN,MYR,1010.41,92.51,59.33,Confirmed,
MY-B00000074,2025-09-26,2025-10-11,MY-C0053,MY-S0069,Air,Offline,ID,MYR,2686.87,172.06,99.46,Confirmed,AG001
MY-B00000075,2024-10-21,2024-10-26,MY-C0015,MY-S0054,Hotel,Online,AU,MYR,1623.72,0.0,0.0,Cancelled,
MY-B00000076,2026-07-01,2026-07-08,MY-C0166,MY-S0060,Air,Online,GB,MYR,3085.25,-211.25,-138.68,Refunded,
MY-B00000077,2026-05-30,2026-06-16,MY-C0200,MY-S0076,Hotel,Offline,US,MYR,2341.03,354.64,248.57,Confirmed,
MY-B00000078,2025-10-20,2025-11-13,MY-C0245,MY-S0039,Air,Online,TH,MYR,666.37,97.34,71.15,Confirmed,AG002
MY-B00000079,2026-01-30,2026-02-08,MY-C0008,MY-S0005,Air,Offline,GB,MYR,2550.91,245.77,141.08,Confirmed,AG004
MY-B00000080,2025-06-17,2025-08-03,MY-C0112,MY-S0079,Ground,Online,AU,MYR,1561.0,205.04,173.17,Confirmed,AG002
MY-B00000081,2026-04-02,2026-04-02,MY-C0234,MY-S0042,Air,Online,AU,MYR,336.82,26.63,22.59,Confirmed,
MY-B00000082,2025-07-22,2025-08-05,MY-C0042,MY-S0005,Air,Offline,SG,MYR,1968.17,300.71,212.66,Confirmed,
MY-B00000083,2026-08-24,2026-09-08,MY-C0083,MY-S0072,Other,Offline,CN,MYR,3821.24,492.33,371.44,Confirmed,AG003
MY-B00000084,2024-10-17,2024-11-14,MY-C0067,MY-S0050,Other,Online,JP,MYR,974.54,-76.91,-66.28,Refunded,AG002
MY-B00000085,2025-01-04,2025-01-12,MY-C0110,MY-S0069,Air,Online,MY,MYR,3127.73,239.51,173.04,Confirmed,
MY-B00000086,2026-08-09,2026-08-18,MY-C0038,MY-S0006,Air,Offline,TH,MYR,4145.79,585.89,399.41,Confirmed,AG003
MY-B00000087,2025-03-30,2025-04-08,MY-C0114,MY-S0053,Air,Online,VN,MYR,448.87,70.92,54.14,Confirmed,AG002
MY-B00000088,2025-04-15,2025-05-12,MY-C0109,MY-S0029,Air,Online,TH,MYR,13157.85,1111.16,706.08,Confirmed,AG005
MY-B00000089,2026-04-01,2026-05-01,MY-C0169,MY-S0042,Air,Online,ID,MYR,1692.83,114.37,73.33,Confirmed,AG001
MY-B00000090,2025-01-17,2025-01-28,MY-C0053,MY-S0043,Hotel,Offline,AU,MYR,880.09,72.81,51.3,Confirmed,AG004
MY-B00000091,2025-09-10,2025-09-17,MY-C0007,MY-S0049,Hotel,Online,JP,MYR,679.74,66.38,52.04,Confirmed,
MY-B00000092,2025-03-28,2025-04-04,MY-C0280,MY-S0053,Air,Online,US,MYR,1574.21,239.44,194.37,Confirmed,AG001
MY-B00000093,2025-01-23,2025-01-27,MY-C0278,MY-S0014,Ground,Online,MY,MYR,1189.42,162.74,126.9,Confirmed,
MY-B00000094,2026-08-05,2026-09-06,MY-C0135,MY-S0034,Air,Offline,GB,MYR,1684.95,208.94,137.84,Confirmed,AG005
MY-B00000095,2025-01-24,2025-02-07,MY-C0318,MY-S0020,Hotel,Online,MY,MYR,4070.99,392.28,335.41,Confirmed,AG002
MY-B00000096,2024-11-08,2024-12-04,MY-C0307,MY-S0069,Air,Offline,AU,MYR,5374.07,566.46,454.95,Confirmed,
MY-B00000097,2026-01-05,2026-01-16,MY-C0267,MY-S0022,Air,Offline,US,MYR,1609.35,131.23,77.29,Confirmed,AG001
MY-B00000098,2026-05-27,2026-07-17,MY-C0053,MY-S0057,Hotel,Offline,TH,MYR,374.82,0.0,0.0,Cancelled,AG003
MY-B00000099,2024-12-03,2024-12-26,MY-C0023,MY-S0020,Hotel,Online,SG,MYR,973.23,129.82,113.51,Confirmed,AG001
MY-B00000100,2026-01-30,2026-02-17,MY-C0207,MY-S0022,Air,Online,TH,MYR,2011.35,303.08,234.72,Confirmed,AG001
MY-B00000101,2025-09-30,2025-10-20,MY-C0190,MY-S0002,Air,Online,AU,MYR,2108.43,301.4,198.74,Confirmed,
MY-B00000102,2026-04-29,2026-05-05,MY-C0058,MY-S0012,Air,Offline,US,MYR,2033.05,271.44,163.15,Confirmed,AG002
MY-B00000103,2024-12-02,2024-12-12,MY-C0308,MY-S0063,Hotel,Offline,MY,MYR,2745.66,208.42,141.16,Confirmed,AG004
MY-B00000104,2026-08-14,2026-09-09,MY-C0320,MY-S0034,Air,Online,GB,MYR,11653.52,1821.24,1261.53,Confirmed,AG002
MY-B00000105,2025-11-26,2025-12-10,MY-C0004,MY-S0069,Air,Online,AU,MYR,1388.46,-133.85,-101.85,Refunded,
MY-B00000106,2026-05-08,2026-05-29,MY-C0183,MY-S0031,Ground,Online,ID,MYR,1466.74,139.9,78.43,Confirmed,
MY-B00000107,2025-05-23,2025-06-03,MY-C0232,MY-S0038,Hotel,Online,US,MYR,481.85,29.77,22.07,Confirmed,AG001
MY-B00000108,2026-07-21,2026-08-03,MY-C0138,MY-S0072,Other,Online,GB,MYR,5506.94,0.0,0.0,Cancelled,AG004
MY-B00000109,2025-12-02,2026-01-02,MY-C0132,MY-S0060,Air,Offline,VN,MYR,2456.6,273.43,198.84,Confirmed,AG004
MY-B00000110,2024-12-02,2024-12-18,MY-C0059,MY-S0035,Ground,Online,SG,MYR,2015.47,130.0,98.33,Confirmed,AG001
MY-B00000111,2026-07-06,2026-07-23,MY-C0240,MY-S0052,Hotel,Offline,ID,MYR,3409.49,293.17,215.47,Confirmed,
MY-B00000112,2026-04-04,2026-04-17,MY-C0095,MY-S0010,Ground,Online,ID,MYR,3019.47,375.6,296.42,Confirmed,AG003
MY-B00000113,2025-04-08,2025-04-18,MY-C0128,MY-S0069,Air,Offline,SG,MYR,762.46,96.24,75.47,Confirmed,
MY-B00000114,2025-10-04,2025-10-16,MY-C0232,MY-S0027,Air,Offline,US,MYR,2348.68,304.77,209.85,Confirmed,AG001
MY-B00000115,2025-06-11,2025-06-25,MY-C0211,MY-S0065,Hotel,Offline,SG,MYR,5120.36,516.43,313.79,Confirmed,AG004
MY-B00000116,2025-10-02,2025-11-03,MY-C0131,MY-S0027,Air,Online,VN,MYR,1622.49,211.54,184.75,Confirmed,AG001
MY-B00000117,2026-08-06,2026-08-20,MY-C0239,MY-S0061,Air,Offline,VN,MYR,3887.86,346.12,289.05,Confirmed,AG005
MY-B00000118,2026-06-19,2026-07-17,MY-C0038,MY-S0012,Air,Offline,ID,MYR,728.94,57.16,34.12,Confirmed,AG003
MY-B00000119,2025-02-05,2025-02-12,MY-C0260,MY-S0011,Air,Offline,VN,MYR,850.1,124.54,105.67,Confirmed,
MY-B00000120,2026-08-11,2026-08-30,MY-C0179,MY-S0050,Other,Offline,AU,MYR,821.77,129.04,71.32,Confirmed,AG005
MY-B00000121,2025-07-17,2025-07-19,MY-C0259,MY-S0072,Other,Online,ID,MYR,3452.14,378.63,283.32,Confirmed,AG003
MY-B00000122,2026-01-28,2026-02-05,MY-C0195,MY-S0050,Other,Offline,CN,MYR,5112.13,678.62,560.08,Confirmed,AG001
MY-B00000123,2026-03-12,2026-03-20,MY-C0126,MY-S0033,Air,Offline,US,MYR,955.62,66.9,51.01,Confirmed,
MY-B00000124,2025-08-19,2025-08-29,MY-C0167,MY-S0052,Hotel,Online,VN,MYR,2718.07,399.64,289.78,Confirmed,AG004
MY-B00000125,2025-07-31,2025-08-28,MY-C0221,MY-S0033,Air,Online,ID,MYR,2066.12,184.22,123.37,Confirmed,AG005
MY-B00000126,2025-07-31,2025-08-02,MY-C0009,MY-S0006,Air,Online,AU,MYR,4905.42,645.11,422.87,Confirmed,AG002
MY-B00000127,2026-05-23,2026-06-22,MY-C0020,MY-S0043,Hotel,Offline,VN,MYR,19080.78,1925.69,1296.32,Confirmed,AG003
MY-B00000128,2025-06-10,2025-06-12,MY-C0153,MY-S0012,Air,Online,MY,MYR,1376.69,116.21,93.76,Confirmed,
MY-B00000129,2025-03-24,2025-04-04,MY-C0067,MY-S0079,Ground,Offline,ID,MYR,2496.2,312.76,211.36,Confirmed,
MY-B00000130,2025-05-22,2025-06-02,MY-C0223,MY-S0061,Air,Offline,MY,MYR,1913.68,268.94,174.55,Confirmed,AG005
MY-B00000131,2025-01-21,2025-02-27,MY-C0106,MY-S0033,Air,Offline,AU,MYR,570.02,80.34,62.37,Confirmed,AG005
MY-B00000132,2025-06-13,2025-07-05,MY-C0294,MY-S0027,Air,Offline,JP,MYR,1477.06,200.09,118.17,Confirmed,
MY-B00000133,2024-11-23,2025-01-07,MY-C0170,MY-S0005,Air,Offline,TH,MYR,5324.06,569.28,388.89,Confirmed,
MY-B00000134,2024-11-05,2024-12-24,MY-C0071,MY-S0062,Air,Online,CN,MYR,6679.93,545.98,465.66,Confirmed,AG001
MY-B00000135,2026-02-11,2026-03-11,MY-C0064,MY-S0076,Hotel,Offline,JP,MYR,11087.22,927.59,584.79,Confirmed,
MY-B00000136,2024-10-27,2024-11-04,MY-C0213,MY-S0053,Air,Online,GB,MYR,228.51,0.0,0.0,Cancelled,
MY-B00000137,2025-10-20,2025-11-08,MY-C0106,MY-S0042,Air,Online,VN,MYR,6295.37,667.8,402.02,Confirmed,
MY-B00000138,2026-03-24,2026-04-08,MY-C0059,MY-S0068,Hotel,Online,SG,MYR,412.47,42.04,26.82,Confirmed,AG003
MY-B00000139,2026-02-11,2026-02-20,MY-C0278,MY-S0067,Ground,Online,GB,MYR,988.03,113.12,67.98,Confirmed,AG004
MY-B00000140,2025-07-23,2025-08-19,MY-C0203,MY-S0031,Ground,Online,SG,MYR,2722.81,280.93,188.75,Confirmed,
MY-B00000141,2025-01-20,2025-01-24,MY-C0022,MY-S0042,Air,Offline,JP,MYR,1323.42,189.46,140.49,Confirmed,AG002
MY-B00000142,2026-07-12,2026-07-19,MY-C0178,MY-S0048,Hotel,Online,TH,MYR,827.31,94.5,82.37,Confirmed,
MY-B00000143,2026-05-03,2026-05-05,MY-C0269,MY-S0062,Air,Online,SG,MYR,4547.94,502.28,330.38,Confirmed,AG002
MY-B00000144,2025-11-21,2025-11-27,MY-C0276,MY-S0006,Air,Online,ID,MYR,1043.62,91.19,51.94,Confirmed,
MY-B00000145,2024-11-03,2024-11-10,MY-C0259,MY-S0027,Air,Online,CN,MYR,12630.23,1906.88,1373.16,Confirmed,
MY-B00000146,2024-09-26,2024-10-08,MY-C0096,MY-S0046,Ground,Online,AU,MYR,4518.54,442.41,359.91,Confirmed,AG004
MY-B00000147,2025-04-19,2025-05-17,MY-C0183,MY-S0013,Air,Offline,US,MYR,2051.57,192.67,110.02,Confirmed,
MY-B00000148,2024-12-24,2025-01-02,MY-C0013,MY-S0053,Air,Offline,TH,MYR,1872.99,207.58,142.39,Confirmed,AG002
MY-B00000149,2026-05-22,2026-06-19,MY-C0218,MY-S0027,Air,Online,MY,MYR,710.52,103.82,81.98,Confirmed,
MY-B00000150,2025-01-29,2025-03-19,MY-C0293,MY-S0079,Ground,Online,SG,MYR,1509.98,214.75,171.31,Confirmed,AG002
MY-B00000151,2025-03-26,2025-04-26,MY-C0247,MY-S0056,Other,Offline,MY,MYR,829.07,123.46,68.07,Confirmed,AG003
MY-B00000152,2026-08-14,2026-08-20,MY-C0284,MY-S0012,Air,Online,VN,MYR,4168.66,601.62,333.27,Confirmed,AG002
MY-B00000153,2026-04-21,2026-04-29,MY-C0310,MY-S0026,Air,Online,TH,MYR,5661.01,-550.19,-445.66,Refunded,AG004
MY-B00000154,2025-02-07,2025-03-07,MY-C0315,MY-S0020,Hotel,Offline,SG,MYR,3691.53,285.98,221.8,Confirmed,AG001
MY-B00000155,2025-06-07,2025-06-15,MY-C0294,MY-S0069,Air,Online,CN,MYR,2065.27,300.38,181.43,Confirmed,AG004
MY-B00000156,2025-09-12,2025-09-27,MY-C0296,MY-S0012,Air,Offline,VN,MYR,1368.69,184.64,134.78,Confirmed,
MY-B00000157,2025-12-29,2026-01-18,MY-C0141,MY-S0047,Hotel,Offline,SG,MYR,2621.62,391.22,332.51,Confirmed,
MY-B00000158,2026-07-16,2026-08-08,MY-C0003,MY-S0074,Hotel,Offline,AU,MYR,5272.79,434.03,370.1,Confirmed,
MY-B00000159,2026-05-29,2026-06-15,MY-C0036,MY-S0013,Air,Online,GB,MYR,2398.22,336.76,281.65,Confirmed,AG005
MY-B00000160,2026-08-15,2026-08-20,MY-C0236,MY-S0047,Hotel,Online,MY,MYR,1051.37,101.18,77.83,Confirmed,AG002
MY-B00000161,2024-09-30,2024-10-10,MY-C0178,MY-S0060,Air,Offline,US,MYR,1282.2,143.35,108.92,Confirmed,AG003
MY-B00000162,2025-02-20,2025-03-23,MY-C0277,MY-S0008,Ground,Online,VN,MYR,14783.77,2355.88,1616.95,Confirmed,
MY-B00000163,2025-10-16,2025-10-30,MY-C0166,MY-S0017,Ground,Online,MY,MYR,1658.54,227.84,132.29,Confirmed,AG002
MY-B00000164,2024-10-06,2024-11-17,MY-C0169,MY-S0045,Air,Online,VN,MYR,2228.16,311.19,180.44,Confirmed,AG004
MY-B00000165,2025-05-18,2025-06-04,MY-C0159,MY-S0069,Air,Online,GB,MYR,1041.05,72.58,61.42,Confirmed,AG003
MY-B00000166,2024-12-22,2024-12-29,MY-C0073,MY-S0024,Hotel,Online,CN,MYR,1136.28,118.49,89.61,Confirmed,AG003
MY-B00000167,2026-07-14,2026-08-04,MY-C0317,MY-S0022,Air,Online,SG,MYR,1315.79,99.11,55.74,Confirmed,AG003
MY-B00000168,2024-10-17,2024-11-18,MY-C0141,MY-S0034,Air,Online,VN,MYR,4442.74,698.92,414.23,Confirmed,
MY-B00000169,2024-12-18,2025-01-03,MY-C0126,MY-S0022,Air,Offline,US,MYR,1039.15,86.05,50.81,Confirmed,AG002
MY-B00000170,2025-01-21,2025-02-06,MY-C0057,MY-S0005,Air,Online,GB,MYR,1573.21,179.78,105.42,Confirmed,AG002
MY-B00000171,2024-12-18,2025-01-06,MY-C0308,MY-S0033,Air,Online,US,MYR,1183.91,84.42,62.1,Confirmed,AG005
MY-B00000172,2025-10-21,2025-11-10,MY-C0038,MY-S0039,Air,Offline,MY,MYR,1442.08,149.97,97.7,Confirmed,
MY-B00000173,2025-05-24,2025-06-01,MY-C0070,MY-S0005,Air,Offline,US,MYR,687.87,100.2,77.98,Confirmed,AG002
MY-B00000174,2026-06-29,2026-07-02,MY-C0167,MY-S0013,Air,Offline,US,MYR,6347.67,966.32,589.75,Confirmed,
MY-B00000175,2025-03-10,2025-04-01,MY-C0102,MY-S0007,Air,Online,TH,MYR,1032.62,118.15,84.72,Confirmed,AG005
MY-B00000176,2025-09-28,2025-10-12,MY-C0127,MY-S0078,Ground,Offline,TH,MYR,4911.24,780.73,660.26,Confirmed,
MY-B00000177,2025-12-26,2026-01-14,MY-C0095,MY-S0053,Air,Online,GB,MYR,1054.73,132.19,93.03,Confirmed,
MY-B00000178,2025-12-01,2025-12-13,MY-C0212,MY-S0006,Air,Online,MY,MYR,2867.92,293.35,239.77,Confirmed,
MY-B00000179,2026-04-05,2026-04-24,MY-C0177,MY-S0026,Air,Offline,US,MYR,7225.91,501.38,290.2,Confirmed,
MY-B00000180,2025-01-26,2025-02-01,MY-C0287,MY-S0051,Other,Online,AU,MYR,2566.63,202.51,141.72,Confirmed,
MY-B00000181,2025-09-06,2025-09-17,MY-C0191,MY-S0016,Ground,Online,CN,MYR,3409.46,339.41,248.17,Confirmed,
MY-B00000182,2026-04-08,2026-04-14,MY-C0175,MY-S0007,Air,Online,MY,MYR,1350.45,84.59,69.24,Confirmed,AG003
MY-B00000183,2026-05-24,2026-06-04,MY-C0043,MY-S0051,Other,Online,GB,MYR,1767.75,177.08,108.87,Confirmed,AG002
MY-B00000184,2025-11-25,2025-11-29,MY-C0105,MY-S0019,Hotel,Online,ID,MYR,847.94,87.44,66.82,Confirmed,AG005
MY-B00000185,2025-12-20,2026-01-13,MY-C0055,MY-S0062,Air,Online,CN,MYR,1494.84,0.0,0.0,Cancelled,
MY-B00000186,2026-05-24,2026-06-29,MY-C0312,MY-S0062,Air,Online,VN,MYR,1453.79,176.58,135.9,Confirmed,
MY-B00000187,2025-12-01,2025-12-05,MY-C0168,MY-S0023,Hotel,Offline,ID,MYR,2142.98,190.69,140.97,Confirmed,
MY-B00000188,2026-07-25,2026-08-08,MY-C0014,MY-S0057,Hotel,Online,MY,MYR,867.58,129.53,105.28,Confirmed,AG004
MY-B00000189,2024-12-03,2024-12-15,MY-C0141,MY-S0033,Air,Online,CN,MYR,834.93,63.94,56.13,Confirmed,
MY-B00000190,2025-05-12,2025-06-18,MY-C0108,MY-S0032,Hotel,Online,TH,MYR,3493.79,507.58,394.24,Confirmed,
MY-B00000191,2024-11-21,2024-12-06,MY-C0012,MY-S0064,Other,Online,VN,MYR,5249.07,503.28,375.23,Confirmed,AG003
MY-B00000192,2024-11-06,2024-12-06,MY-C0138,MY-S0040,Hotel,Offline,CN,MYR,1473.93,162.71,114.62,Confirmed,
MY-B00000193,2025-08-11,2025-09-03,MY-C0181,MY-S0051,Other,Online,AU,MYR,621.94,91.59,60.08,Confirmed,
